# ╔══════════════════════════════════════════════════════╗
# ║     Enterprise Honeypot Threat Intelligence Feed      ║
# ║     by Loki | T-Pot v24.04.1 | AWS eu-central-1      ║
# ╚══════════════════════════════════════════════════════╝
#
# Updated: 2026-03-16 15:26:54 UTC
# Total IPs: 1000
# Criteria: HIGH and CRITICAL threat score from live honeypot
# Sources: VirusTotal + AbuseIPDB correlation
# Format: IP | Threat Level | Score | ISP | Country
#
# Usage:
#   iptables: iptables -A INPUT -s <IP> -j DROP
#   firewall: Add to blocklist/blackhole route
#

# ── CRITICAL THREATS ─────────────────────────────────
185.180.141.68       # CRITICAL | Score: 96 | ICG-1-ZEN-DFW | PT
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
34.158.79.105        # CRITICAL | Score: 96 | Google LLC | NL
18.218.118.203       # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
3.129.187.38         # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
3.143.162.210        # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
185.180.141.69       # CRITICAL | Score: 96 | ICG-1-ZEN-DFW | PT
167.99.33.127        # CRITICAL | Score: 96 | DigitalOcean, LLC | NL
185.180.141.68       # CRITICAL | Score: 96 | ICG-1-ZEN-DFW | PT
192.159.99.125       # CRITICAL | Score: 96 | 1337 Services GmbH | US
180.114.98.111       # CRITICAL | Score: 96 | Chinanet Jiangsu Province Netw | CN
18.218.118.203       # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
3.131.220.121        # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
3.143.162.210        # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
34.158.79.105        # CRITICAL | Score: 96 | Google LLC | NL
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
3.129.187.38         # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
185.226.197.15       # CRITICAL | Score: 96 | ICG-4-ZEN-AMS | PT
185.142.236.41       # CRITICAL | Score: 96 | Black.HOST CLOUD Network | SC
47.250.51.94         # CRITICAL | Score: 96 | Alibaba Cloud - MY | MY
185.180.141.43       # CRITICAL | Score: 96 | ICG-1-ZEN-DFW | PT
45.153.34.213        # CRITICAL | Score: 96 | VMHeaven.io | NL
1.94.6.230           # CRITICAL | Score: 96 | Beijing Teletron Telecom Engin | CN
34.158.79.105        # CRITICAL | Score: 96 | Google LLC | NL
167.86.88.201        # CRITICAL | Score: 96 | Contabo GmbH | DE
185.196.8.233        # CRITICAL | Score: 96 | Global-Data System IT Corporat | CH
1.94.6.230           # CRITICAL | Score: 96 | Beijing Teletron Telecom Engin | CN
3.129.187.38         # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
18.218.118.203       # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
3.143.162.210        # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
45.153.34.213        # CRITICAL | Score: 96 | VMHeaven.io | NL
185.142.236.41       # CRITICAL | Score: 96 | Black.HOST CLOUD Network | SC
149.86.227.60        # CRITICAL | Score: 96 | MEVSPACE sp. z o.o. | PL
3.131.220.121        # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
165.154.227.152      # CRITICAL | Score: 96 | Scloud Pte Ltd t/a Scloud Pte  | TW
3.130.168.2          # CRITICAL | Score: 95 | Amazon Technologies Inc. | US
3.130.168.2          # CRITICAL | Score: 95 | Amazon Technologies Inc. | US
3.130.168.2          # CRITICAL | Score: 95 | Amazon Technologies Inc. | US
3.130.168.2          # CRITICAL | Score: 95 | Amazon Technologies Inc. | US
66.132.153.119       # CRITICAL | Score: 94 | Censys, Inc. | US
195.178.110.131      # CRITICAL | Score: 94 | TECHOFF SRV LIMITED | BG
152.32.159.180       # CRITICAL | Score: 94 | UCLOUD INFORMATION TECHNOLOGY  | IN
185.224.128.251      # CRITICAL | Score: 94 | Alsycon B.V. | NL
185.224.128.251      # CRITICAL | Score: 94 | Alsycon B.V. | NL
185.224.128.251      # CRITICAL | Score: 94 | Alsycon B.V. | NL
103.40.61.98         # CRITICAL | Score: 94 | Gleam Worldwide Services Pvt L | IN
96.126.106.7         # CRITICAL | Score: 94 | Linode | US
96.126.106.7         # CRITICAL | Score: 94 | Linode | US
103.40.61.98         # CRITICAL | Score: 94 | Gleam Worldwide Services Pvt L | IN
45.205.1.8           # CRITICAL | Score: 94 | VPSVAULT.HOST LTD | US
95.215.0.144         # CRITICAL | Score: 94 | Petersburg Internet Network lt | RU
185.224.128.251      # CRITICAL | Score: 94 | Alsycon B.V. | NL
118.193.64.188       # CRITICAL | Score: 94 | UCLOUD INFORMATION TECHNOLOGY  | GB
5.61.209.96          # CRITICAL | Score: 94 | Amarutu Technology Ltd | SC
109.105.209.15       # CRITICAL | Score: 94 | ICG-ZEN-LAX-1 | PT
109.105.209.12       # CRITICAL | Score: 94 | ICG-ZEN-LAX-1 | PT
